Date (MM/DD/YYYY),Time (HH:MM:SS),Turbidity FNU,TSS mg/L
15/12/2020,0:08:00,94,128
15/12/2020,0:13:00,94,133
15/12/2020,0:18:00,95,132
15/12/2020,0:23:00,95,132
15/12/2020,0:28:00,95,132
15/12/2020,0:33:00,95,132
15/12/2020,0:38:00,95,134
15/12/2020,0:43:00,95,133
15/12/2020,0:48:00,95,133
15/12/2020,0:53:00,94,132
15/12/2020,0:58:00,95,133
15/12/2020,1:03:00,94,132
15/12/2020,1:08:00,95,134
15/12/2020,1:13:00,94,133
15/12/2020,1:18:00,94,133
15/12/2020,1:23:00,94,132
15/12/2020,1:28:00,95,132
15/12/2020,1:33:00,95,133
15/12/2020,1:38:00,95,133
15/12/2020,1:43:00,94,133
15/12/2020,1:48:00,94,133
15/12/2020,1:53:00,94,134
15/12/2020,1:58:00,94,133
15/12/2020,2:03:00,95,135
15/12/2020,2:08:00,95,135
15/12/2020,2:13:00,95,135
15/12/2020,2:18:00,94,134
15/12/2020,2:23:00,95,134
15/12/2020,2:28:00,95,134
15/12/2020,2:33:00,95,136
15/12/2020,2:38:00,95,136
15/12/2020,2:43:00,95,135
15/12/2020,2:48:00,95,135
15/12/2020,2:53:00,95,136
15/12/2020,2:58:00,95,137
15/12/2020,3:03:00,95,136
15/12/2020,3:08:00,95,136
15/12/2020,3:13:00,95,137
15/12/2020,3:18:00,96,138
15/12/2020,3:23:00,96,136
15/12/2020,3:28:00,96,138
15/12/2020,3:33:00,96,138
15/12/2020,3:38:00,96,137
15/12/2020,3:43:00,96,137
15/12/2020,3:48:00,96,139
15/12/2020,3:53:00,96,139
15/12/2020,3:58:00,96,138
15/12/2020,4:03:00,96,139
15/12/2020,4:08:00,96,141
15/12/2020,4:13:00,96,140
15/12/2020,4:18:00,96,140
15/12/2020,4:23:00,96,139
15/12/2020,4:28:00,96,139
15/12/2020,4:33:00,96,141
15/12/2020,4:38:00,96,139
15/12/2020,4:43:00,96,140
15/12/2020,4:48:00,96,141
15/12/2020,4:53:00,96,142
15/12/2020,4:58:00,97,141
15/12/2020,5:03:00,96,141
15/12/2020,5:08:00,96,141
15/12/2020,5:13:00,97,143
15/12/2020,5:18:00,96,142
15/12/2020,5:23:00,97,142
15/12/2020,5:28:00,97,141
15/12/2020,5:33:00,97,142
15/12/2020,5:38:00,97,143
15/12/2020,5:43:00,97,142
15/12/2020,5:48:00,97,144
15/12/2020,5:53:00,97,144
15/12/2020,5:58:00,97,144
15/12/2020,6:03:00,98,143
15/12/2020,6:08:00,97,142
15/12/2020,6:13:00,98,143
15/12/2020,6:18:00,98,143
15/12/2020,6:23:00,98,143
15/12/2020,6:28:00,98,145
15/12/2020,6:33:00,98,146
15/12/2020,6:38:00,98,144
15/12/2020,6:43:00,98,145
15/12/2020,6:48:00,98,143
15/12/2020,6:53:00,98,143
15/12/2020,6:58:00,99,144
15/12/2020,7:03:00,99,143
15/12/2020,7:08:00,99,144
15/12/2020,7:13:00,99,146
15/12/2020,7:18:00,99,145
15/12/2020,7:23:00,99,145
15/12/2020,7:28:00,99,144
15/12/2020,7:33:00,99,144
15/12/2020,7:38:00,99,146
15/12/2020,7:43:00,99,145
15/12/2020,7:48:00,99,146
15/12/2020,7:53:00,99,146
15/12/2020,7:58:00,99,145
15/12/2020,8:03:00,99,146
15/12/2020,8:08:00,99,146
15/12/2020,8:13:00,99,145
15/12/2020,8:18:00,99,147
15/12/2020,8:23:00,0,146
15/12/2020,8:28:00,99,145
15/12/2020,8:33:00,99,146
15/12/2020,8:38:00,99,146
15/12/2020,8:43:00,0,146
15/12/2020,8:48:00,0,151
15/12/2020,8:53:00,3,166
15/12/2020,8:58:00,26,170
15/12/2020,9:03:00,49,181
15/12/2020,9:08:00,9,173
15/12/2020,9:13:00,13,171
15/12/2020,9:18:00,19,170
15/12/2020,9:23:00,21,168
15/12/2020,9:28:00,24,169
15/12/2020,9:33:00,27,170
15/12/2020,9:38:00,28,164
15/12/2020,9:43:00,29,163
15/12/2020,9:48:00,27,165
15/12/2020,9:53:00,32,160
15/12/2020,9:58:00,35,161
15/12/2020,10:03:00,38,161
15/12/2020,10:08:00,42,162
15/12/2020,10:13:00,46,152
15/12/2020,10:18:00,50,130
15/12/2020,10:23:00,55,138
15/12/2020,10:28:00,54,142
15/12/2020,10:33:00,61,142
15/12/2020,10:38:00,58,136
15/12/2020,10:43:00,66,133
15/12/2020,10:48:00,68,132
15/12/2020,10:53:00,70,132
15/12/2020,10:58:00,73,132
15/12/2020,11:03:00,76,131
